_start,_end,_type
973,357,KNOWS
1024,221,KNOWS_SN
1024,221,KNOWS
327,496,KNOWS_SN
327,496,KNOWS
713,151,KNOWS_SN
713,151,KNOWS
706,662,KNOWS_SN
706,662,KNOWS
896,946,KNOWS_SN
896,946,KNOWS
419,1162,KNOWS_SN
419,1162,KNOWS
1198,923,KNOWS_SN
1198,923,KNOWS
1092,1035,KNOWS_SN
1092,1035,KNOWS
70,1151,KNOWS_SN
70,1151,KNOWS
1114,276,KNOWS_SN
1114,276,KNOWS
487,170,KNOWS_SN
487,170,KNOWS
630,693,KNOWS_SN
630,693,KNOWS
874,386,KNOWS_SN
874,386,KNOWS
444,1049,KNOWS_SN
444,1049,KNOWS
828,650,KNOWS_SN
828,650,KNOWS
121,942,KNOWS_SN
121,942,KNOWS
468,885,KNOWS_SN
468,885,KNOWS
600,191,KNOWS_SN
600,191,KNOWS
1001,183,KNOWS_SN
1001,183,KNOWS
1238,689,KNOWS_SN
1238,689,KNOWS
2,543,KNOWS_SN
2,543,KNOWS
1073,784,KNOWS_SN
1073,784,KNOWS
857,1118,KNOWS_SN
857,1118,KNOWS
973,588,KNOWS_SN
973,588,KNOWS
1024,1170,KNOWS_SN
1024,1170,KNOWS
327,1214,KNOWS_SN
327,1214,KNOWS
640,843,KNOWS_SN
640,843,KNOWS
1178,407,KNOWS_SN
1178,407,KNOWS
713,1174,KNOWS_SN
713,1174,KNOWS
706,373,KNOWS_SN
706,373,KNOWS
896,658,KNOWS_SN
896,658,KNOWS
576,1289,KNOWS_SN
576,1289,KNOWS
419,23,KNOWS_SN
419,23,KNOWS
1198,981,KNOWS_SN
1198,981,KNOWS
1114,1257,KNOWS_SN
1114,1257,KNOWS
487,298,KNOWS_SN
487,298,KNOWS
199,159,KNOWS_SN
199,159,KNOWS
630,131,KNOWS_SN
630,131,KNOWS
27,460,KNOWS_SN
27,460,KNOWS
828,500,KNOWS_SN
828,500,KNOWS
531,1017,KNOWS_SN
531,1017,KNOWS
468,806,KNOWS_SN
468,806,KNOWS
600,780,KNOWS_SN
600,780,KNOWS
1001,917,KNOWS_SN
1001,917,KNOWS
452,415,KNOWS_SN
452,415,KNOWS
2,94,KNOWS_SN
2,94,KNOWS
776,720,KNOWS_SN
776,720,KNOWS
1073,1155,KNOWS_SN
1073,1155,KNOWS
857,740,KNOWS_SN
857,740,KNOWS
147,1316,KNOWS_SN
147,1316,KNOWS
1046,788,KNOWS_SN
1046,788,KNOWS
973,1013,KNOWS_SN
973,1013,KNOWS
1024,516,KNOWS_SN
1024,516,KNOWS
327,997,KNOWS_SN
327,997,KNOWS
640,1088,KNOWS_SN
640,1088,KNOWS
509,1009,KNOWS_SN
509,1009,KNOWS
1178,569,KNOWS_SN
1178,569,KNOWS
713,1268,KNOWS_SN
713,1268,KNOWS
706,539,KNOWS_SN
706,539,KNOWS
896,1312,KNOWS_SN
896,1312,KNOWS
1198,1222,KNOWS_SN
1198,1222,KNOWS
1092,411,KNOWS_SN
1092,411,KNOWS
70,143,KNOWS_SN
70,143,KNOWS
1114,558,KNOWS_SN
1114,558,KNOWS
487,236,KNOWS_SN
487,236,KNOWS
199,816,KNOWS_SN
199,816,KNOWS
874,666,KNOWS_SN
874,666,KNOWS
444,1021,KNOWS_SN
444,1021,KNOWS
828,1057,KNOWS_SN
828,1057,KNOWS
121,229,KNOWS_SN
121,229,KNOWS
531,118,KNOWS_SN
531,118,KNOWS
468,512,KNOWS_SN
468,512,KNOWS
600,379,KNOWS_SN
600,379,KNOWS
1001,546,KNOWS_SN
1001,546,KNOWS
452,1286,KNOWS_SN
452,1286,KNOWS
1238,965,KNOWS_SN
1238,965,KNOWS
2,853,KNOWS_SN
2,853,KNOWS
1073,2,KNOWS_SN
1073,2,KNOWS
857,1238,KNOWS_SN
857,1238,KNOWS
147,452,KNOWS_SN
147,452,KNOWS
1046,468,KNOWS_SN
1046,468,KNOWS
930,531,KNOWS_SN
930,531,KNOWS
448,121,KNOWS_SN
448,121,KNOWS
973,828,KNOWS_SN
973,828,KNOWS
1024,444,KNOWS_SN
1024,444,KNOWS
327,27,KNOWS_SN
327,27,KNOWS
640,630,KNOWS_SN
640,630,KNOWS
509,199,KNOWS_SN
509,199,KNOWS
1178,487,KNOWS_SN
1178,487,KNOWS
706,70,KNOWS_SN
706,70,KNOWS
896,1265,KNOWS_SN
896,1265,KNOWS
576,419,KNOWS_SN
576,419,KNOWS
0,2,FAMILY_REL
1238,772,FAMILY_REL
0,2,KNOWS
1122,1118,FAMILY_REL
1238,772,KNOWS
843,839,FAMILY_REL
1122,1118,KNOWS
926,923,FAMILY_REL
843,839,KNOWS
942,938,FAMILY_REL
926,923,KNOWS
1017,1013,FAMILY_REL
942,938,KNOWS
949,946,FAMILY_REL
1017,1013,KNOWS
806,802,FAMILY_REL
949,946,KNOWS
1024,1021,FAMILY_REL
806,802,KNOWS
1133,1129,FAMILY_REL
1024,1021,KNOWS
870,867,FAMILY_REL
1133,1129,KNOWS
908,904,FAMILY_REL
870,867,KNOWS
1001,997,FAMILY_REL
908,904,KNOWS
1084,1080,FAMILY_REL
1001,997,KNOWS
1076,1073,FAMILY_REL
1084,1080,KNOWS
1063,1061,FAMILY_REL
1076,1073,KNOWS
1046,1043,FAMILY_REL
1063,1061,KNOWS
1092,1088,FAMILY_REL
1046,1043,KNOWS
784,783,FAMILY_REL
1092,1088,KNOWS
1128,1126,FAMILY_REL
784,783,KNOWS
914,910,FAMILY_REL
1128,1126,KNOWS
993,989,FAMILY_REL
914,910,KNOWS
877,874,FAMILY_REL
993,989,KNOWS
863,861,FAMILY_REL
877,874,KNOWS
934,930,FAMILY_REL
863,861,KNOWS
849,847,FAMILY_REL
934,930,KNOWS
1053,1049,FAMILY_REL
849,847,KNOWS
985,981,FAMILY_REL
1053,1049,KNOWS
836,832,FAMILY_REL
985,981,KNOWS
798,796,FAMILY_REL
836,832,KNOWS
1069,1067,FAMILY_REL
798,796,KNOWS
977,973,FAMILY_REL
1069,1067,KNOWS
1100,1096,FAMILY_REL
977,973,KNOWS
1114,1111,FAMILY_REL
1100,1096,KNOWS
820,816,FAMILY_REL
1114,1111,KNOWS
1009,1005,FAMILY_REL
820,816,KNOWS
828,824,FAMILY_REL
1009,1005,KNOWS
1108,1104,FAMILY_REL
828,824,KNOWS
1031,1027,FAMILY_REL
1108,1104,KNOWS
885,881,FAMILY_REL
1031,1027,KNOWS
780,776,FAMILY_REL
885,881,KNOWS
1057,1055,FAMILY_REL
780,776,KNOWS
857,853,FAMILY_REL
1057,1055,KNOWS
955,951,FAMILY_REL
857,853,KNOWS
900,896,FAMILY_REL
955,951,KNOWS
1039,1035,FAMILY_REL
900,896,KNOWS
961,959,FAMILY_REL
1039,1035,KNOWS
969,965,FAMILY_REL
961,959,KNOWS
892,888,FAMILY_REL
969,965,KNOWS
813,810,FAMILY_REL
892,888,KNOWS
792,788,FAMILY_REL
813,810,KNOWS
920,917,FAMILY_REL
792,788,KNOWS
1226,1118,FAMILY_REL
920,917,KNOWS
1271,839,FAMILY_REL
1226,1118,KNOWS
1312,923,FAMILY_REL
1271,839,KNOWS
1320,938,FAMILY_REL
1312,923,KNOWS
1166,1013,FAMILY_REL
1320,938,KNOWS
1134,946,FAMILY_REL
1166,1013,KNOWS
1253,802,FAMILY_REL
1134,946,KNOWS
1170,1021,FAMILY_REL
1253,802,KNOWS
1234,1129,FAMILY_REL
1170,1021,KNOWS
1283,867,FAMILY_REL
1234,1129,KNOWS
1301,904,FAMILY_REL
1283,867,KNOWS
1073,242,KNOWS_SN
1159,997,FAMILY_REL
1073,242,KNOWS
1301,904,KNOWS
857,360,KNOWS_SN
1206,1080,FAMILY_REL
857,360,KNOWS
1159,997,KNOWS
1046,1039,KNOWS_SN
1202,1073,FAMILY_REL
1046,1039,KNOWS
1206,1080,KNOWS
930,792,KNOWS_SN
1194,1061,FAMILY_REL
930,792,KNOWS
1202,1073,KNOWS
973,926,KNOWS_SN
1182,1043,FAMILY_REL
973,926,KNOWS
1194,1061,KNOWS
1024,306,KNOWS_SN
1210,1088,FAMILY_REL
1024,306,KNOWS
1182,1043,KNOWS
1244,783,FAMILY_REL
327,1210,KNOWS_SN
1210,1088,KNOWS
327,1210,KNOWS
640,1084,KNOWS_SN
1230,1126,FAMILY_REL
1244,783,KNOWS
640,1084,KNOWS
1304,910,FAMILY_REL
1230,1126,KNOWS
1155,989,FAMILY_REL
1304,910,KNOWS
1286,874,FAMILY_REL
1155,989,KNOWS
1279,861,FAMILY_REL
1286,874,KNOWS
1316,930,FAMILY_REL
1279,861,KNOWS
1275,847,FAMILY_REL
1316,930,KNOWS
1186,1049,FAMILY_REL
1275,847,KNOWS
1151,981,FAMILY_REL
1186,1049,KNOWS
1268,832,FAMILY_REL
1151,981,KNOWS
1250,796,FAMILY_REL
1268,832,KNOWS
1198,1067,FAMILY_REL
1250,796,KNOWS
1148,973,FAMILY_REL
1198,1067,KNOWS
1214,1096,FAMILY_REL
1148,973,KNOWS
1222,1111,FAMILY_REL
1214,1096,KNOWS
1261,816,FAMILY_REL
1222,1111,KNOWS
1162,1005,FAMILY_REL
1261,816,KNOWS
1265,824,FAMILY_REL
1162,1005,KNOWS
1218,1104,KNOWS
1218,1104,FAMILY_REL
1174,1027,KNOWS
1174,1027,FAMILY_REL
1289,881,KNOWS
1289,881,FAMILY_REL
1242,776,KNOWS
1242,776,FAMILY_REL
1190,1055,KNOWS
1190,1055,FAMILY_REL
1277,853,KNOWS
1277,853,FAMILY_REL
1138,951,KNOWS
1138,951,FAMILY_REL
1297,896,KNOWS
1297,896,FAMILY_REL
1178,1035,KNOWS
1178,1035,FAMILY_REL
1140,959,KNOWS
1140,959,FAMILY_REL
1144,965,KNOWS
1144,965,FAMILY_REL
1293,888,KNOWS
1293,888,FAMILY_REL
1257,810,KNOWS
1257,810,FAMILY_REL
1246,788,KNOWS
1246,788,FAMILY_REL
1308,917,KNOWS
1308,917,FAMILY_REL
1226,1122,KNOWS
1226,1122,FAMILY_REL
1271,843,KNOWS
1271,843,FAMILY_REL
1312,926,KNOWS
1312,926,FAMILY_REL
1320,942,KNOWS
1320,942,FAMILY_REL
1166,1017,KNOWS
1166,1017,FAMILY_REL
1134,949,KNOWS
1134,949,FAMILY_REL
1253,806,KNOWS
1253,806,FAMILY_REL
1234,1133,FAMILY_REL
1170,1024,FAMILY_REL
1283,870,FAMILY_REL
1234,1133,KNOWS
1301,908,FAMILY_REL
1283,870,KNOWS
1159,1001,FAMILY_REL
1301,908,KNOWS
1206,1084,FAMILY_REL
1159,1001,KNOWS
1202,1076,FAMILY_REL
1206,1084,KNOWS
1194,1063,FAMILY_REL
1202,1076,KNOWS
1182,1046,FAMILY_REL
1194,1063,KNOWS
1210,1092,FAMILY_REL
1182,1046,KNOWS
1244,784,FAMILY_REL
1210,1092,KNOWS
1230,1128,FAMILY_REL
1244,784,KNOWS
1304,914,FAMILY_REL
1230,1128,KNOWS
1155,993,FAMILY_REL
1304,914,KNOWS
1286,877,FAMILY_REL
1155,993,KNOWS
1279,863,FAMILY_REL
1286,877,KNOWS
1316,934,FAMILY_REL
1279,863,KNOWS
1275,849,FAMILY_REL
1316,934,KNOWS
1186,1053,FAMILY_REL
1275,849,KNOWS
1151,985,FAMILY_REL
1186,1053,KNOWS
1268,836,FAMILY_REL
1151,985,KNOWS
1250,798,FAMILY_REL
1268,836,KNOWS
1198,1069,FAMILY_REL
1250,798,KNOWS
1148,977,FAMILY_REL
1198,1069,KNOWS
1214,1100,FAMILY_REL
1148,977,KNOWS
1222,1114,FAMILY_REL
1214,1100,KNOWS
1261,820,FAMILY_REL
1222,1114,KNOWS
1162,1009,FAMILY_REL
1261,820,KNOWS
1265,828,FAMILY_REL
1162,1009,KNOWS
1218,1108,FAMILY_REL
1265,828,KNOWS
1174,1031,FAMILY_REL
1218,1108,KNOWS
1289,885,FAMILY_REL
1174,1031,KNOWS
1242,780,FAMILY_REL
1289,885,KNOWS
1190,1057,FAMILY_REL
1242,780,KNOWS
1277,857,FAMILY_REL
1190,1057,KNOWS
1138,955,FAMILY_REL
1277,857,KNOWS
1297,900,FAMILY_REL
1138,955,KNOWS
1178,1039,FAMILY_REL
1297,900,KNOWS
1140,961,FAMILY_REL
1178,1039,KNOWS
1144,969,FAMILY_REL
1140,961,KNOWS
1293,892,FAMILY_REL
1144,969,KNOWS
1257,813,FAMILY_REL
1293,892,KNOWS
1246,792,FAMILY_REL
1257,813,KNOWS
1308,920,FAMILY_REL
1246,792,KNOWS
917,914,KNOWS
1308,920,KNOWS
917,914,KNOWS_LW
13,9,KNOWS
917,923,KNOWS
13,9,KNOWS_LW
917,923,KNOWS_LW
20,16,KNOWS
923,910,KNOWS
20,16,KNOWS_LW
923,910,KNOWS_LW
50,43,KNOWS
923,914,KNOWS
50,43,KNOWS_LW
923,914,KNOWS_LW
50,47,KNOWS
923,920,KNOWS
50,47,KNOWS_LW
923,920,KNOWS_LW
47,43,KNOWS
920,910,KNOWS
47,43,KNOWS_LW
920,910,KNOWS_LW
59,57,KNOWS
920,914,KNOWS
59,57,KNOWS_LW
920,914,KNOWS_LW
118,114,KNOWS
946,942,KNOWS
118,114,KNOWS_LW
946,942,KNOWS_LW
118,121,KNOWS
1024,1017,KNOWS
118,121,KNOWS_LW
1024,1017,KNOWS_LW
121,114,KNOWS
1021,1017,KNOWS
121,114,KNOWS_LW
1021,1017,KNOWS_LW
128,124,KNOWS
1043,1039,KNOWS
128,124,KNOWS_LW
1043,1039,KNOWS_LW
159,155,KNOWS
1073,1069,KNOWS
159,155,KNOWS_LW
1073,1069,KNOWS_LW
174,170,KNOWS
1111,1104,KNOWS
174,170,KNOWS_LW
1111,1104,KNOWS_LW
214,207,KNOWS
1111,1108,KNOWS
214,207,KNOWS_LW
1111,1108,KNOWS_LW
214,211,KNOWS
1148,1144,KNOWS
214,211,KNOWS_LW
1148,1144,KNOWS_LW
211,207,KNOWS
1159,1155,KNOWS
211,207,KNOWS_LW
1159,1155,KNOWS_LW
229,225,KNOWS
1250,1246,KNOWS
229,225,KNOWS_LW
1250,1246,KNOWS_LW
249,242,KNOWS
1268,1261,KNOWS
249,242,KNOWS_LW
1268,1261,KNOWS_LW
249,246,KNOWS
1268,1265,KNOWS
249,246,KNOWS_LW
1268,1265,KNOWS_LW
246,242,KNOWS
1265,1261,KNOWS
246,242,KNOWS_LW
1265,1261,KNOWS_LW
314,310,KNOWS
1283,1279,KNOWS
314,310,KNOWS_LW
1283,1279,KNOWS_LW
360,353,KNOWS
1283,1286,KNOWS
360,353,KNOWS_LW
1283,1286,KNOWS_LW
360,357,KNOWS
1286,1279,KNOWS
360,357,KNOWS_LW
1286,1279,KNOWS_LW
357,353,KNOWS
1301,1297,KNOWS
357,353,KNOWS_LW
1301,1297,KNOWS_LW
379,369,KNOWS
1320,1316,KNOWS
379,369,KNOWS_LW
1320,1316,KNOWS_LW
379,373,KNOWS
379,373,KNOWS_LW
379,376,KNOWS
379,376,KNOWS_LW
376,369,KNOWS
376,369,KNOWS_LW
376,373,KNOWS
376,373,KNOWS_LW
373,369,KNOWS
373,369,KNOWS_LW
386,382,KNOWS
386,382,KNOWS_LW
433,431,KNOWS
433,431,KNOWS_LW
468,464,KNOWS
468,464,KNOWS_LW
487,483,KNOWS
487,483,KNOWS_LW
500,496,KNOWS
500,496,KNOWS_LW
509,505,KNOWS
509,505,KNOWS_LW
516,512,KNOWS
516,512,KNOWS_LW
543,539,KNOWS
920,917,KNOWS_LW
543,539,KNOWS_LW
562,558,KNOWS
562,558,KNOWS_LW
569,565,KNOWS
569,565,KNOWS_LW
608,604,KNOWS
608,604,KNOWS_LW
608,611,KNOWS
608,611,KNOWS_LW
611,604,KNOWS
611,604,KNOWS_LW
682,678,KNOWS
682,678,KNOWS_LW
706,701,KNOWS
706,701,KNOWS_LW
706,705,KNOWS
706,705,KNOWS_LW
705,701,KNOWS
705,701,KNOWS_LW
713,709,KNOWS
713,709,KNOWS_LW
783,776,KNOWS
783,776,KNOWS_LW
783,780,KNOWS
783,780,KNOWS_LW
813,806,KNOWS
813,806,KNOWS_LW
810,806,KNOWS
810,806,KNOWS_LW
867,863,KNOWS
867,863,KNOWS_LW
874,870,KNOWS
874,870,KNOWS_LW
917,910,KNOWS
917,910,KNOWS_LW
1234,853,KNOWS_PHONE
1234,853,KNOWS
1100,59,KNOWS_PHONE
1100,59,KNOWS
626,1148,KNOWS_PHONE
626,1148,KNOWS
70,1151,KNOWS_PHONE
203,1088,KNOWS_PHONE
203,1088,KNOWS
280,468,KNOWS_PHONE
280,468,KNOWS
1283,327,KNOWS_PHONE
1283,327,KNOWS
576,360,KNOWS_PHONE
576,360,KNOWS
666,20,KNOWS_PHONE
666,20,KNOWS
236,1268,KNOWS_PHONE
236,1268,KNOWS
1214,788,KNOWS_PHONE
1214,788,KNOWS
1144,389,KNOWS_PHONE
1144,389,KNOWS
881,16,KNOWS_PHONE
881,16,KNOWS
1190,592,KNOWS_PHONE
1190,592,KNOWS
110,546,KNOWS_PHONE
110,546,KNOWS
1301,678,KNOWS_PHONE
1301,678,KNOWS
1286,393,KNOWS_PHONE
1286,393,KNOWS
1257,961,KNOWS_PHONE
1257,961,KNOWS
877,527,KNOWS_PHONE
877,527,KNOWS
162,867,KNOWS_PHONE
162,867,KNOWS
479,39,KNOWS_PHONE
479,39,KNOWS
1129,155,KNOWS_PHONE
1129,155,KNOWS
630,973,KNOWS_PHONE
630,973,KNOWS
670,249,KNOWS_PHONE
670,249,KNOWS
114,376,KNOWS_PHONE
114,376,KNOWS
407,1122,KNOWS_PHONE
407,1122,KNOWS
772,252,KNOWS_PHONE
772,252,KNOWS
98,1114,KNOWS_PHONE
98,1114,KNOWS
1210,816,KNOWS_PHONE
1210,816,KNOWS
1293,183,KNOWS_PHONE
1293,183,KNOWS
159,768,KNOWS_PHONE
159,768,KNOWS
433,1046,KNOWS_PHONE
433,1046,KNOWS
923,225,KNOWS_PHONE
923,225,KNOWS
1206,784,KNOWS_PHONE
1206,784,KNOWS
427,604,KNOWS_PHONE
427,604,KNOWS
981,640,KNOWS_PHONE
981,640,KNOWS
1226,969,KNOWS_PHONE
1226,969,KNOWS
1031,43,KNOWS_PHONE
1031,43,KNOWS
792,682,KNOWS_PHONE
792,682,KNOWS
106,997,KNOWS_PHONE
106,997,KNOWS
756,82,KNOWS_PHONE
756,82,KNOWS
810,674,KNOWS_PHONE
810,674,KNOWS
94,272,KNOWS_PHONE
94,272,KNOWS
397,195,KNOWS_PHONE
397,195,KNOWS
650,199,KNOWS_PHONE
650,199,KNOWS
584,292,KNOWS_PHONE
584,292,KNOWS
379,1108,KNOWS_PHONE
379,1108,KNOWS
554,335,KNOWS_PHONE
554,335,KNOWS
35,1289,KNOWS_PHONE
35,1289,KNOWS
1316,50,KNOWS_PHONE
1316,50,KNOWS
363,951,KNOWS_PHONE
363,951,KNOWS
926,942,KNOWS_PHONE
926,942,KNOWS
487,460,KNOWS_PHONE
487,460,KNOWS
938,444,KNOWS_PHONE
938,444,KNOWS
920,187,KNOWS_PHONE
920,187,KNOWS
1140,415,KNOWS_PHONE
1140,415,KNOWS
242,989,KNOWS_PHONE
242,989,KNOWS
102,128,KNOWS_PHONE
102,128,KNOWS
323,993,KNOWS_PHONE
323,993,KNOWS
1073,131,KNOWS_PHONE
1073,131,KNOWS
523,634,KNOWS_PHONE
523,634,KNOWS
151,170,KNOWS_PHONE
151,170,KNOWS
685,744,KNOWS_PHONE
685,744,KNOWS
411,143,KNOWS_PHONE
411,143,KNOWS
27,1246,KNOWS_PHONE
27,1246,KNOWS
965,802,KNOWS_PHONE
965,802,KNOWS
175,1076,KNOWS_PHONE
175,1076,KNOWS
539,302,KNOWS_PHONE
539,302,KNOWS
1118,709,KNOWS_PHONE
1118,709,KNOWS
760,456,KNOWS_PHONE
760,456,KNOWS
565,836,KNOWS_PHONE
565,836,KNOWS
693,66,KNOWS_PHONE
693,66,KNOWS
1265,496,KNOWS_PHONE
1265,496,KNOWS
740,857,KNOWS_PHONE
440,1261,KNOWS_PHONE
440,1261,KNOWS
716,706,KNOWS_PHONE
716,706,KNOWS
53,1320,KNOWS_PHONE
53,1320,KNOWS
832,319,KNOWS_PHONE
832,319,KNOWS
1238,689,KNOWS_PHONE
1297,1039,KNOWS_PHONE
1297,1039,KNOWS
121,448,KNOWS_PHONE
1096,179,KNOWS_PHONE
1096,179,KNOWS
888,1013,KNOWS_PHONE
888,1013,KNOWS
1174,221,KNOWS_PHONE
1174,221,KNOWS
720,748,KNOWS_PHONE
720,748,KNOWS
519,914,KNOWS_PHONE
519,914,KNOWS
1230,977,KNOWS_PHONE
1230,977,KNOWS
13,588,KNOWS_PHONE
13,588,KNOWS
1178,232,KNOWS_PHONE
1178,232,KNOWS
284,5,KNOWS_PHONE
284,5,KNOWS
268,214,KNOWS_PHONE
268,214,KNOWS
471,764,KNOWS_PHONE
471,764,KNOWS
490,658,KNOWS_PHONE
490,658,KNOWS
47,512,KNOWS_PHONE
47,512,KNOWS
509,369,KNOWS_PHONE
509,369,KNOWS
813,1080,KNOWS_PHONE
813,1080,KNOWS
558,900,KNOWS_PHONE
558,900,KNOWS
1304,917,KNOWS_PHONE
1304,917,KNOWS
246,580,KNOWS_PHONE
246,580,KNOWS
1155,423,KNOWS_PHONE
1155,423,KNOWS
600,1170,KNOWS_PHONE
600,1170,KNOWS
436,874,KNOWS_PHONE
436,874,KNOWS
207,780,KNOWS_PHONE
207,780,KNOWS
